Date,recession,debt,color,stocks,restaurant,portfolio,inflation,housing,dow jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,ring,wall street,banks,greed,bribery,insider trading,bankruptcy,recession,debt,color,stocks,restaurant,portfolio,inflation,housing,dow jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,ring,wall street,banks,greed,bribery,insider trading,bankruptcy,Datetimes
6/15/14,0,6,48,4,62,2,4,40,6,14,1,80,2,11,10,76,8,47,13,9,3,23,6,5,14,71,46,60,14,35,1,2,3,57,3,26,30,8,42,3,10,20,3,10,5,53,7,15,62,13,3,13,1,1,1,10,1,5,14,27,15,12,23,34,3,10,10,18,6/15/14
6/22/14,0,6,49,4,62,2,4,40,6,14,1,81,2,11,10,78,8,46,14,9,4,26,6,5,13,71,43,59,14,31,1,2,2,60,1,16,30,15,38,1,3,18,1,7,3,62,6,14,58,11,2,13,1,1,0,25,1,4,13,17,14,14,22,18,1,9,2,16,6/22/14
6/29/14,0,5,48,4,64,2,4,38,6,12,1,82,2,11,10,84,9,42,13,8,3,23,6,5,14,68,41,57,13,37,1,2,2,53,5,17,21,11,34,2,3,17,6,7,3,55,12,18,47,12,2,11,1,1,1,11,1,5,16,25,9,15,18,36,1,4,0,10,6/29/14
7/6/14,0,6,49,4,64,2,4,42,6,14,1,85,2,11,10,80,9,43,14,9,3,24,6,6,15,75,44,57,14,32,1,2,3,61,1,15,23,13,41,3,3,17,3,6,3,48,4,17,56,10,2,12,1,1,1,9,1,4,14,19,10,11,19,22,0,4,4,20,7/6/14
7/13/14,0,6,52,4,68,2,4,42,7,15,1,86,2,11,10,78,9,46,14,9,4,24,6,6,14,72,44,59,14,31,1,1,2,62,2,21,15,15,36,1,6,17,6,5,5,50,5,15,44,12,2,11,1,1,1,10,1,4,6,11,39,9,23,15,3,4,6,14,7/13/14
7/20/14,0,6,51,4,70,2,4,43,6,15,2,84,2,11,10,78,9,44,13,9,4,24,6,5,16,74,42,60,14,31,1,1,2,63,2,18,21,13,38,0,2,20,2,5,3,47,9,14,43,12,4,10,1,2,1,10,1,4,11,22,100,11,18,19,3,2,6,16,7/20/14
7/27/14,0,6,51,4,69,2,4,43,8,14,1,88,2,11,9,80,9,44,14,9,4,25,6,5,14,75,44,62,13,32,1,1,2,64,2,23,23,20,46,1,3,22,7,7,4,56,8,18,41,13,3,16,1,1,1,19,2,13,17,13,12,20,18,20,1,4,2,20,7/27/14
8/3/14,0,6,50,4,68,2,4,43,8,13,1,89,2,11,9,77,9,44,13,9,4,23,6,5,13,72,43,59,12,32,1,1,2,61,2,26,21,12,56,2,4,19,7,5,3,63,15,21,31,11,2,12,2,1,1,22,1,5,21,5,11,17,16,27,0,3,4,11,8/3/14
8/10/14,0,6,50,4,65,2,4,43,7,13,2,88,2,11,8,73,10,43,13,9,3,22,5,5,15,67,63,57,12,30,1,1,2,56,3,17,21,7,45,1,3,17,3,5,4,55,6,9,16,11,3,14,1,1,1,9,1,12,14,14,15,13,12,16,0,5,5,14,8/10/14
8/17/14,0,5,50,4,63,2,4,42,7,13,2,85,2,11,8,75,9,43,13,9,3,23,6,5,14,74,50,56,12,30,1,1,2,54,2,20,25,11,40,1,14,24,5,7,6,50,5,23,24,11,3,10,1,1,1,9,1,4,17,19,14,15,13,15,0,2,2,15,8/17/14
8/24/14,0,6,50,4,59,2,4,38,7,13,3,83,2,11,8,76,11,42,14,9,3,22,6,8,16,72,50,55,12,29,1,2,2,55,6,12,17,13,40,3,3,18,4,4,5,53,6,17,16,12,3,10,1,1,0,10,1,4,4,19,16,11,15,17,0,2,10,19,8/24/14
8/31/14,0,5,51,4,60,2,4,37,5,13,3,84,2,11,8,74,12,47,14,9,3,22,8,10,17,76,49,57,12,29,1,2,1,51,4,7,19,9,41,1,3,14,2,3,4,68,6,14,22,11,3,16,2,1,0,12,1,6,8,18,15,12,18,18,0,2,2,21,8/31/14
9/7/14,1,6,52,5,56,3,5,35,6,16,3,80,2,12,8,74,13,47,16,9,3,22,8,11,17,86,53,55,12,27,1,2,2,58,0,16,28,13,34,3,2,16,4,5,7,58,7,16,18,13,4,17,2,1,1,11,1,6,15,19,12,13,17,16,0,3,2,20,9/7/14
9/14/14,1,6,54,5,57,3,5,36,6,16,3,82,2,12,8,74,13,47,17,10,3,22,9,14,17,86,62,56,14,27,1,2,2,56,5,16,28,16,39,1,8,17,3,3,6,57,9,26,16,11,4,15,2,2,2,6,1,4,12,37,19,17,22,14,0,3,3,17,9/14/14
9/21/14,1,6,55,5,58,3,5,37,7,16,3,81,2,13,8,72,13,49,16,9,3,22,8,16,17,88,61,55,14,27,1,2,2,57,4,11,22,19,41,1,5,16,5,10,10,60,8,28,19,11,4,15,1,2,1,7,1,4,24,36,21,10,48,19,1,7,2,19,9/21/14
9/28/14,1,6,53,5,56,3,5,36,8,16,3,84,2,13,8,72,14,66,17,10,3,23,8,17,17,87,58,55,13,26,1,2,2,56,3,14,24,21,37,1,2,21,8,5,10,52,6,26,24,8,4,34,1,2,1,8,1,4,18,24,18,15,21,17,1,0,5,24,9/28/14
10/5/14,1,6,53,5,58,2,5,35,10,16,3,79,2,13,8,70,13,63,17,10,3,35,8,17,17,90,57,55,13,28,1,2,2,58,4,14,25,18,44,2,3,16,11,5,11,50,5,13,14,8,3,34,2,1,0,57,1,4,17,17,15,14,26,24,2,2,2,14,10/5/14
