,Date,recession,debt,color,stocks,restaurant,portfolio,inflation,housing,dow jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,ring,wall street,banks,greed,bribery,insider trading,bankruptcy,recession.1,debt.1,color.1,stocks.1,restaurant.1,portfolio.1,inflation.1,housing.1,dow jones.1,revenue.1,economics.1,credit.1,markets.1,return.1,unemployment.1,money.1,religion.1,cancer.1,growth.1,investment.1,hedge.1,marriage.1,bonds.1,derivatives.1,headlines.1,profit.1,society.1,ring.1,wall street.1,banks.1,greed.1,bribery.1,insider trading.1,bankruptcy.1
0,6/15/14,0.0,6.0,48.0,4.0,62.0,2.0,4.0,40.0,6.0,14.0,1.0,80.0,2.0,11.0,10.0,76.0,8.0,47.0,13.0,9.0,3.0,23.0,6.0,5.0,14.0,71.0,46.0,60.0,14.0,35.0,1.0,2.0,3.0,57.0,3.0,26.0,30.0,8.0,42.0,3.0,10.0,20.0,3.0,10.0,5.0,53.0,7.0,15.0,62.0,13.0,3.0,13.0,1.0,1.0,1.0,10.0,1.0,5.0,14.0,27.0,15.0,12.0,23.0,34.0,3.0,10.0,10.0,18.0
1,6/22/14,0.0,6.0,49.0,4.0,62.0,2.0,4.0,40.0,6.0,14.0,1.0,81.0,2.0,11.0,10.0,78.0,8.0,46.0,14.0,9.0,4.0,26.0,6.0,5.0,13.0,71.0,43.0,59.0,14.0,31.0,1.0,2.0,2.0,60.0,1.0,16.0,30.0,15.0,38.0,1.0,3.0,18.0,1.0,7.0,3.0,62.0,6.0,14.0,58.0,11.0,2.0,13.0,1.0,1.0,0.0,25.0,1.0,4.0,13.0,17.0,14.0,14.0,22.0,18.0,1.0,9.0,2.0,16.0
2,6/29/14,0.0,5.0,48.0,4.0,64.0,2.0,4.0,38.0,6.0,12.0,1.0,82.0,2.0,11.0,10.0,84.0,9.0,42.0,13.0,8.0,3.0,23.0,6.0,5.0,14.0,68.0,41.0,57.0,13.0,37.0,1.0,2.0,2.0,53.0,5.0,17.0,21.0,11.0,34.0,2.0,3.0,17.0,6.0,7.0,3.0,55.0,12.0,18.0,47.0,12.0,2.0,11.0,1.0,1.0,1.0,11.0,1.0,5.0,16.0,25.0,9.0,15.0,18.0,36.0,1.0,4.0,0.0,10.0
3,7/6/14,0.0,6.0,49.0,4.0,64.0,2.0,4.0,42.0,6.0,14.0,1.0,85.0,2.0,11.0,10.0,80.0,9.0,43.0,14.0,9.0,3.0,24.0,6.0,6.0,15.0,75.0,44.0,57.0,14.0,32.0,1.0,2.0,3.0,61.0,1.0,15.0,23.0,13.0,41.0,3.0,3.0,17.0,3.0,6.0,3.0,48.0,4.0,17.0,56.0,10.0,2.0,12.0,1.0,1.0,1.0,9.0,1.0,4.0,14.0,19.0,10.0,11.0,19.0,22.0,0.0,4.0,4.0,20.0
4,7/13/14,0.0,6.0,52.0,4.0,68.0,2.0,4.0,42.0,7.0,15.0,1.0,86.0,2.0,11.0,10.0,78.0,9.0,46.0,14.0,9.0,4.0,24.0,6.0,6.0,14.0,72.0,44.0,59.0,14.0,31.0,1.0,1.0,2.0,62.0,2.0,21.0,15.0,15.0,36.0,1.0,6.0,17.0,6.0,5.0,5.0,50.0,5.0,15.0,44.0,12.0,2.0,11.0,1.0,1.0,1.0,10.0,1.0,4.0,6.0,11.0,39.0,9.0,23.0,15.0,3.0,4.0,6.0,14.0
5,7/20/14,0.0,6.0,51.0,4.0,70.0,2.0,4.0,43.0,6.0,15.0,2.0,84.0,2.0,11.0,10.0,78.0,9.0,44.0,13.0,9.0,4.0,24.0,6.0,5.0,16.0,74.0,42.0,60.0,14.0,31.0,1.0,1.0,2.0,63.0,2.0,18.0,21.0,13.0,38.0,0.0,2.0,20.0,2.0,5.0,3.0,47.0,9.0,14.0,43.0,12.0,4.0,10.0,1.0,2.0,1.0,10.0,1.0,4.0,11.0,22.0,100.0,11.0,18.0,19.0,3.0,2.0,6.0,16.0
6,7/27/14,0.0,6.0,51.0,4.0,69.0,2.0,4.0,43.0,8.0,14.0,1.0,88.0,2.0,11.0,9.0,80.0,9.0,44.0,14.0,9.0,4.0,25.0,6.0,5.0,14.0,75.0,44.0,62.0,13.0,32.0,1.0,1.0,2.0,64.0,2.0,23.0,23.0,20.0,46.0,1.0,3.0,22.0,7.0,7.0,4.0,56.0,8.0,18.0,41.0,13.0,3.0,16.0,1.0,1.0,1.0,19.0,2.0,13.0,17.0,13.0,12.0,20.0,18.0,20.0,1.0,4.0,2.0,20.0
7,8/3/14,0.0,6.0,50.0,4.0,68.0,2.0,4.0,43.0,8.0,13.0,1.0,89.0,2.0,11.0,9.0,77.0,9.0,44.0,13.0,9.0,4.0,23.0,6.0,5.0,13.0,72.0,43.0,59.0,12.0,32.0,1.0,1.0,2.0,61.0,2.0,26.0,21.0,12.0,56.0,2.0,4.0,19.0,7.0,5.0,3.0,63.0,15.0,21.0,31.0,11.0,2.0,12.0,2.0,1.0,1.0,22.0,1.0,5.0,21.0,5.0,11.0,17.0,16.0,27.0,0.0,3.0,4.0,11.0
8,8/10/14,0.0,6.0,50.0,4.0,65.0,2.0,4.0,43.0,7.0,13.0,2.0,88.0,2.0,11.0,8.0,73.0,10.0,43.0,13.0,9.0,3.0,22.0,5.0,5.0,15.0,67.0,63.0,57.0,12.0,30.0,1.0,1.0,2.0,56.0,3.0,17.0,21.0,7.0,45.0,1.0,3.0,17.0,3.0,5.0,4.0,55.0,6.0,9.0,16.0,11.0,3.0,14.0,1.0,1.0,1.0,9.0,1.0,12.0,14.0,14.0,15.0,13.0,12.0,16.0,0.0,5.0,5.0,14.0
9,8/17/14,0.0,5.0,50.0,4.0,63.0,2.0,4.0,42.0,7.0,13.0,2.0,85.0,2.0,11.0,8.0,75.0,9.0,43.0,13.0,9.0,3.0,23.0,6.0,5.0,14.0,74.0,50.0,56.0,12.0,30.0,1.0,1.0,2.0,54.0,2.0,20.0,25.0,11.0,40.0,1.0,14.0,24.0,5.0,7.0,6.0,50.0,5.0,23.0,24.0,11.0,3.0,10.0,1.0,1.0,1.0,9.0,1.0,4.0,17.0,19.0,14.0,15.0,13.0,15.0,0.0,2.0,2.0,15.0
10,8/24/14,0.0,6.0,50.0,4.0,59.0,2.0,4.0,38.0,7.0,13.0,3.0,83.0,2.0,11.0,8.0,76.0,11.0,42.0,14.0,9.0,3.0,22.0,6.0,8.0,16.0,72.0,50.0,55.0,12.0,29.0,1.0,2.0,2.0,55.0,6.0,12.0,17.0,13.0,40.0,3.0,3.0,18.0,4.0,4.0,5.0,53.0,6.0,17.0,16.0,12.0,3.0,10.0,1.0,1.0,0.0,10.0,1.0,4.0,4.0,19.0,16.0,11.0,15.0,17.0,0.0,2.0,10.0,19.0
